Test Name=,
Test Request Number=,8273
Data Type=,1
Data Extracted on(Server)=,6/3/2022 1:50:43 AM Eastern Standard Time
Selected Start Time(Could be different from actual)= , 2/2/2022 4:58:27 AM
Selected End Time(Could be different from actual)= , 2/3/2022 1:40:49 PM
New Output File Format =,TRUE
Export Header =,TRUE
DataTypeDesired,Scan Data
How Often (seconds)= , 0
MaxLinesDesiredInFile= ,-1
MaxColsDesiredInFile= ,-1
Filter List
Filter Variable,Min Filter Value, Max Filter Value, Ignore Zero (0=do not ignore, 1 = ignore)

###
Date,Time,Time (UTC),Test ID number,Test point sequence number,Test point identification,ca_52 : LOAD :  : MW : Load,ca_57 : TEXHAUST :  : degF : Exhaust temp
02/02/2022, 07:34:44.077,1643805284.102,8273,0,na,0.0,71.41040802002
02/02/2022, 07:34:50.077,1643805290.582,8273,0,na,0.0,72.18688201904
02/02/2022, 07:35:03.079,1643805304.019,8273,0,na,0.0,74.08182525635
02/02/2022, 07:35:19.082,1643805319.889,8273,0,na,0.0,76.65000152588
02/02/2022, 07:35:33.084,1643805333.385,8273,0,na,0.0,78.99705505371
02/02/2022, 07:36:20.091,1643805380.471,8273,0,na,0.0,88.14818572998
02/02/2022, 07:38:47.110,1643805527.282,8273,0,na,0.0,127.2790374756
02/02/2022, 07:38:51.111,1643805531.805,8273,0,na,0.0,128.4109802246
02/02/2022, 07:39:11.114,1643805551.922,8273,0,na,0.0,132.7607574463
02/02/2022, 07:39:22.115,1643805562.681,8273,0,na,0.0,134.0938262939
02/02/2022, 07:39:33.117,1643805573.286,8273,0,na,0.0,135.0586700439
02/02/2022, 07:40:12.123,1643805612.532,8273,0,na,0.0,138.6231842041
02/02/2022, 07:40:19.124,1643805620.08,8273,0,na,0.0,139.1628112793
02/02/2022, 07:43:58.154,1643805838.794,8273,0,na,0.0,149.3236083984
02/02/2022, 07:45:24.166,1643805925.155,8273,0,na,0.0,151.2109222412
02/02/2022, 07:48:02.189,1643806083.019,8273,0,na,0.0,153.7465667725
02/02/2022, 07:48:26.192,1643806106.995,8273,0,na,0.0,153.9990997314
02/02/2022, 07:49:18.200,1643806159.03,8273,0,na,0.0,154.4754943848
02/02/2022, 07:51:41.220,1643806302.123,8273,0,na,0.0,155.2074279785
02/02/2022, 07:52:32.227,1643806352.67,8273,0,na,0.0,155.6109008789
02/02/2022, 07:53:08.233,1643806389.226,8273,0,na,0.0,155.7957763672
02/02/2022, 07:53:46.238,1643806426.446,8273,0,na,0.0,156.0019073486
02/02/2022, 07:56:29.261,1643806589.447,8273,0,na,0.0,156.5330200195
02/02/2022, 07:57:16.268,1643806637.07,8273,0,na,0.0,156.2596588135
02/02/2022, 07:59:51.290,1643806792.259,8273,0,na,0.0,156.7303466797
02/02/2022, 08:01:23.304,1643806883.531,8273,0,na,0.0,157.1276245117
02/02/2022, 08:03:44.324,1643807025.013,8273,0,na,0.0,157.3382415771
02/02/2022, 08:06:13.345,1643807173.768,8273,0,na,0.0,157.9754333496
02/02/2022, 08:08:13.362,1643807293.97,8273,0,na,0.0,158.1493988037
02/02/2022, 08:09:18.372,1643807359.076,8273,0,na,0.0,158.0733184814
02/02/2022, 08:14:32.525,1643807673.206,8273,0,na,0.0,146.1539916992
02/02/2022, 08:14:55.528,1643807695.722,8273,0,na,0.0,135.5783996582
02/02/2022, 08:17:31.550,1643807852.505,8273,0,na,0.0,347.4651489258
02/02/2022, 08:20:05.571,1643808006.342,8273,0,na,0.0,894.9206542969
02/02/2022, 08:20:11.572,1643808011.754,8273,0,na,0.0,917.1110229492
02/02/2022, 08:20:27.575,1643808028.544,8273,0,na,0.0,989.7914428711
02/02/2022, 08:20:29.575,1643808029.866,8273,0,na,0.0,994.7982177734
02/02/2022, 08:20:46.578,1643808047.166,8273,0,na,0.0,1023.208435059
02/02/2022, 08:21:05.580,1643808066.552,8273,0,na,0.0,1035.867553711
02/02/2022, 08:21:16.581,1643808077.428,8273,0,na,0.0,1043.211669922
02/02/2022, 08:21:50.586,1643808111.311,8273,0,na,0.0,1075.277709961
02/02/2022, 08:21:52.587,1643808113.354,8273,0,na,0.0,1077.699584961
02/02/2022, 08:22:48.596,1643808169.489,8273,0,na,0.0,998.7680664063
02/02/2022, 08:23:31.601,1643808211.858,8273,0,na,0.0,1019.077148438
02/02/2022, 08:23:54.605,1643808235.316,8273,0,na,0.0,1056.821044922
02/02/2022, 08:23:55.605,1643808235.924,8273,0,na,0.0,1057.590332031
02/02/2022, 08:24:42.611,1643808282.699,8273,0,na,0.0,927.3579711914
02/02/2022, 08:25:17.616,1643808318.589,8273,0,na,0.0,857.7639160156
02/02/2022, 08:25:41.620,1643808342.445,8273,2079,Completed - Run 12 1492 OPER-17-Cold Start - Gas - Run 12,0.0,846.8486938477
02/02/2022, 08:26:33.871,1643808394.718,8273,0,na,37.76504516602,1037.793334961
02/02/2022, 08:26:35.871,1643808396.712,8273,0,na,37.38534927368,1059.131591797
02/02/2022, 08:27:25.878,1643808446.487,8273,0,na,47.72933959961,1051.829589844
02/02/2022, 08:28:54.890,1643808535.604,8273,0,na,48.3374786377,1052.599853516
02/02/2022, 08:29:17.893,1643808558.085,8273,0,na,48.32879257202,1054.618041992
02/02/2022, 08:30:37.905,1643808638.417,8273,0,na,58.54685592651,1031.133666992
02/02/2022, 08:30:52.907,1643808653.271,8273,0,na,58.02762985229,1032.591186523
02/02/2022, 08:31:55.916,1643808715.919,8273,0,na,57.22235107422,1037.883666992
02/02/2022, 08:32:32.112,1643808752.661,8273,0,na,57.55407714844,1038.231323242
02/02/2022, 08:32:51.114,1643808771.159,8273,0,na,64.28614807129,1025.408691406
02/02/2022, 08:33:11.117,1643808791.204,8273,0,na,63.60306549072,996.5083618164
02/02/2022, 08:33:47.123,1643808827.165,8273,0,na,96.82066345215,1251.104492188
02/02/2022, 08:34:26.128,1643808866.739,8273,0,na,116.4847869873,1249.830566406
02/02/2022, 08:34:58.132,1643808898.958,8273,0,na,134.842666626,1250.250488281
02/02/2022, 08:35:09.135,1643808910.021,8273,0,na,140.9859008789,1250.229248047
02/02/2022, 08:35:36.138,1643808936.917,8273,0,na,156.1621856689,1250.62109375
02/02/2022, 08:36:54.149,1643809014.609,8273,0,na,198.9382019043,1250.162719727
02/02/2022, 08:37:10.151,1643809031.012,8273,0,na,216.721786499,1256.918334961
02/02/2022, 08:38:18.161,1643809099.036,8273,0,na,245.0199890137,1249.571899414
02/02/2022, 08:38:44.165,1643809124.741,8273,0,na,259.7765197754,1249.638061523
02/02/2022, 08:38:51.166,1643809132.097,8273,0,na,263.4021606445,1249.364013672
02/02/2022, 08:40:10.177,1643809210.195,8273,0,na,307.159362793,1249.939331055
02/02/2022, 08:44:51.217,1643809492.011,8273,0,na,422.5462036133,1212.171020508
02/02/2022, 08:46:07.509,1643809568.195,8273,0,na,421.2078857422,1214.788818359
02/02/2022, 08:46:10.510,1643809571.391,8273,0,na,420.5539550781,1215.355712891
02/02/2022, 09:03:45.658,1643810626.315,8273,0,na,418.3952331543,1218.64831543
02/02/2022, 09:06:21.680,1643810782.637,8273,0,na,419.2041931152,1218.826049805
02/02/2022, 09:11:45.726,1643811106.036,8273,0,na,418.7027282715,1219.118408203
02/02/2022, 09:16:39.767,1643811400.216,8273,0,na,418.7281188965,1218.361572266
02/02/2022, 09:21:07.806,1643811668.607,8273,0,na,418.227142334,1218.671508789
02/02/2022, 09:21:25.808,1643811686.568,8273,0,na,418.4230041504,1218.338623047
02/02/2022, 09:26:36.853,1643811997.392,8273,0,na,418.6818237305,1218.403320313
02/02/2022, 09:27:55.864,1643812076.522,8273,0,na,419.5077514648,1218.611694336
02/02/2022, 09:29:20.875,1643812161.225,8273,0,na,419.28515625,1218.395629883
02/02/2022, 09:32:08.898,1643812329.582,8273,0,na,418.6085205078,1218.62902832
02/02/2022, 09:33:18.908,1643812399.259,8273,0,na,419.2982788086,1218.891601563
02/02/2022, 09:33:43.912,1643812424.433,8273,0,na,418.9564819336,1218.955688477
02/02/2022, 09:39:50.964,1643812791.888,8273,0,na,418.0715637207,1218.608276367
02/02/2022, 09:42:25.984,1643812946.008,8273,0,na,418.7114257813,1218.663208008
02/02/2022, 09:44:23.001,1643813063.443,8273,0,na,418.6387634277,1218.941772461
02/02/2022, 09:46:44.021,1643813204.324,8273,0,na,417.3944702148,1219.073974609
02/02/2022, 09:49:53.050,1643813393.258,8273,0,na,417.5997314453,1218.575805664
02/02/2022, 09:55:49.154,1643813749.325,8273,0,na,417.8136291504,1219.431518555
02/02/2022, 09:57:40.170,1643813861.149,8273,0,na,416.9586181641,1219.372558594
02/02/2022, 09:58:40.179,1643813920.399,8273,0,na,417.8804321289,1219.284667969
02/02/2022, 10:01:40.378,1643814101.275,8273,0,na,417.537902832,1218.081665039
02/02/2022, 10:02:44.386,1643814165.052,8273,0,na,417.5316162109,1218.899658203
02/02/2022, 10:04:16.399,1643814256.643,8273,0,na,365.1421813965,1250.099975586
02/02/2022, 10:04:29.401,1643814270.095,8273,0,na,359.5727233887,1250.227905273
